stock,country,indicator,entry_date,entry_price,exit_price,pnl_pct,max_drawdown_pct,tier,hold_days
6068.HK,HK,S01,2024-09-13,0.149000003933907,0.178000003099442,19.463086174412947,-11.409398792166343,,5
6068.HK,HK,S01,2025-02-13,0.135000005364418,0.131999999284744,-2.222226637381084,-8.14815329916667,,5
6068.HK,HK,S01,2025-08-15,0.127000004053116,0.131999999284744,3.9370039937454036,-7.086616575300172,,5
6068.HK,HK,S01,2025-09-01,0.128000006079674,0.125,-2.343754638422928,-7.81250381987752,,5
6069.HK,HK,S01,2024-08-06,4.96000003814697,8.05000019073486,62.29838969401092,2.41935251282602,,5
6069.HK,HK,S01,2025-07-15,12.1199998855591,10.5200004577637,-13.201315535504158,-14.356433890658678,,5
6069.HK,HK,S01,2025-11-11,10.75,10.8900003433228,1.3023287750958148,-5.767440795898603,,5
6078.HK,HK,S01,2024-10-16,18.1399993896484,16.2199993133545,-10.584344767892045,-14.22270703881047,,5
6078.HK,HK,S01,2025-03-05,15.0799999237061,14.2799997329712,-5.305041079458377,-13.660473981197008,,5
6078.HK,HK,S01,2025-03-20,15.1999998092651,14.539999961853,-4.342104313776362,-14.342101176689418,,5
6078.HK,HK,S01,2025-03-28,13.8199996948242,14.2399997711182,3.0390744252425477,-2.026047316600612,,5
6078.HK,HK,S01,2026-01-21,13.5900001525879,12.1899995803833,-10.30169651571344,-18.910961486154232,,5
6088.HK,HK,S01,2026-03-03,5.82999992370605,7.80999994277954,33.96226492254963,-5.145792758552816,,5
6088.HK,HK,S01,2026-03-10,5.73999977111816,7.86999988555908,37.10801741070442,8.885021763380516,,5
6098.HK,HK,S01,2024-10-16,5.94999980926514,5.55999994277954,-6.554619814916723,-8.571424678880255,,5
6098.HK,HK,S01,2024-11-11,5.69999980926514,5.40000009536743,-5.2631530515154035,-9.64911811056039,,5
6098.HK,HK,S01,2025-03-17,6.57000017166138,6.71000003814697,2.13089593345,-7.001522467702735,,5
6098.HK,HK,S01,2025-03-24,6.26000022888184,6.65999984741211,6.38977003043525,-0.31949611872862876,,5
6098.HK,HK,S01,2025-08-01,6.5,6.36999988555908,-2.0000017606295346,-2.6153857891376884,,5
6098.HK,HK,S01,2025-12-09,6.21999979019165,5.65000009536743,-9.163982541013201,-10.289387268064209,,5
6099.HK,HK,S01,2024-05-27,6.75,6.01000022888184,-10.962959572120884,-12.29629516601556,,5
6099.HK,HK,S01,2024-10-16,11.3599996566772,15.8199996948242,39.26056490261857,11.267612018748954,,5
6099.HK,HK,S01,2024-10-31,13.2600002288818,13.6400003433228,2.8657625028792677,1.0558023169831094,,5
6099.HK,HK,S01,2026-01-20,14.8299999237061,13.1499996185303,-11.32839051799509,-12.744439332744637,,5
6100.HK,HK,S01,2024-05-24,2.90000009536743,2.16000008583069,-25.517240869020803,-25.862068115034837,,5
6100.HK,HK,S01,2024-10-16,2.65000009536743,3.09999990463257,16.981124266818057,-11.320761507114733,,5
6100.HK,HK,S01,2024-11-18,2.39000010490417,3.30999994277954,38.49371537631203,-1.673648473467479,,5
6100.HK,HK,S01,2024-12-18,3.30999994277954,5.28999996185303,59.818732728158416,-16.918427566777712,,5
6100.HK,HK,S01,2025-02-24,4.57000017166138,3.64000010490417,-20.350110105556453,-22.975933288710404,,5
6100.HK,HK,S01,2025-02-26,5.28999996185303,3.79999995231628,-28.166351990195835,-33.459357158605876,,5
6100.HK,HK,S01,2025-03-12,5.92000007629395,3.58999991416931,-39.35811033947268,-40.54054162901114,,5
6100.HK,HK,S01,2025-03-14,6.11999988555908,3.32999992370605,-45.58823552327821,-48.5294092439404,,5
6110.HK,HK,S01,2024-05-24,5.07999992370605,4.42999982833862,-12.795277660028596,-14.763779749288794,,5
6110.HK,HK,S01,2024-10-15,2.74000000953674,2.5,-8.759124405160772,-16.058396193029647,,5
6110.HK,HK,S01,2025-01-21,2.89000010490417,3.0699999332428,6.228367536498715,-3.114192018026728,,5
6160.HK,HK,S01,2024-03-25,91.5500030517578,90.0,-1.6930671765040837,-17.586024649735354,,5
6160.HK,HK,S01,2024-05-24,91.6999969482422,93.1999969482422,1.6357688657793936,-6.924753201142643,,5
6160.HK,HK,S01,2025-02-14,142.5,136.699996948242,-4.070177580181061,-11.15789580763439,,5
6168.HK,HK,S01,2025-07-15,38.0999984741211,42.9000015258789,12.598433711272019,-3.4120716249991725,,5
6168.HK,HK,S01,2025-07-21,39.4500007629395,43.060001373291,9.15082519781049,-6.717367489555275,,5
6168.HK,HK,S01,2025-08-01,37.2000007629395,48.3199996948242,29.892469633933427,4.838707527269048,,5
6168.HK,HK,S01,2025-08-11,40.439998626709,47.060001373291,16.36993810927025,1.1374948436968715,,5
6168.HK,HK,S01,2025-08-18,48.0800018310547,41.2000007629395,-14.309485869593772,-15.307820985975518,,5
6168.HK,HK,S01,2025-08-29,42.9000015258789,44.7999992370605,4.428898936135114,-5.081585612207365,,5
6168.HK,HK,S01,2025-09-04,43.060001373291,51.2000007629395,18.903853065591242,-5.434277933022423,,5
6169.HK,HK,S01,2024-03-08,0.540000021457672,0.540000021457672,0.0,-19.44444720391857,,5
6169.HK,HK,S01,2024-03-26,0.759999990463257,0.509999990463257,-32.894737254879814,-42.763156862800436,,5
6169.HK,HK,S01,2024-08-20,0.409999996423721,0.5,21.951220575930712,-6.09756248256825,,5
6169.HK,HK,S01,2024-10-15,0.419999986886978,0.405000001192093,-3.5714252769539905,-11.90475801897131,,5
6178.HK,HK,S01,2024-10-16,7.19000005722046,8.27000045776367,15.020867760058424,3.3379661920467445,,5
